[2026-02-03 16:56:06] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:06] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:06] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:06] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:06] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:07] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:07] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:07] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:07] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:07] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:07] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:07] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:07] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:07] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:07] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:08] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:08] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:08] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:08] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:08] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:08] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:08] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:08] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:08] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:08] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:09] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:09] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:09] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:09] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
